Total Black Pixels,Total White Pixels,Total Colored Pixels,Correct Colored Pixels,Overflow Pixels,Overall Coverage (%),Overall Overflow (%),id
790,1482890,437367,345789,91578,18.00002811,4.767087947,scans/40106.jpg
98,1676301,252233,174813,77420,9.064093098,4.014244293,scans/40112.jpg
107,1350828,702690,592950,109740,28.87333374,5.343721468,scans/40113.jpg
23,1443930,542758,351725,191033,17.70388345,9.615540459,scans/40107.jpg
90,1606912,333654,238653,95001,12.29754269,4.895303444,scans/40111.jpg
188,1687488,240254,161606,78648,8.382358281,4.079401223,scans/40105.jpg
136,1183032,843521,646953,196568,31.92167126,9.698972067,scans/40139.jpg
15,1619004,335519,257794,77725,13.18951077,3.976643074,scans/40104.jpg
888,1699271,252631,207694,44937,10.63575705,2.301169097,scans/40110.jpg
225,1468646,472296,323539,148757,16.66724192,7.663276781,scans/40048.jpg
24,1681012,285825,151558,134267,7.705577568,6.826461046,scans/40128.jpg
106,1601337,323543,236938,86605,12.30855705,4.498993759,scans/40101.jpg
181,1369369,673850,504960,168890,24.71175492,8.265146325,scans/40115.jpg
162,1405535,622298,496860,125438,24.5000604,6.18532097,scans/40129.jpg
297,1573995,385354,311550,73804,15.89827959,3.766190424,scans/40049.jpg
15,1265241,785169,566876,218293,27.64675616,10.64623188,scans/40103.jpg
32,1559281,435331,343380,91951,17.21510204,4.6098953,scans/40117.jpg
77,1651194,298354,228044,70310,11.69681349,3.606334552,scans/40116.jpg
73,1351157,672865,499645,173220,24.68485916,8.557898715,scans/40102.jpg
57,1570234,387434,249600,137834,12.7494924,7.04051897,scans/40039.jpg
0,1715771,288496,227065,61431,11.32907941,3.065010799,scans/40012.jpg
20,1580832,356768,320600,36168,16.54607199,1.866619874,scans/40013.jpg
2,1719308,272850,196142,76708,9.845695125,3.850493936,scans/40017.jpg
0,1725303,279328,242244,37084,12.08421899,1.849916518,scans/40016.jpg
92,1691179,233410,152472,80938,7.921936155,4.205268302,scans/40028.jpg
0,999475,1112670,934346,178324,44.23683033,8.44279157,scans/40014.jpg
75,1634455,309084,237037,72047,12.19568289,3.706857432,scans/40148.jpg
43,1627235,323912,198699,125213,10.18347778,6.417263311,scans/40149.jpg
0,1559426,404652,327746,76906,16.68701549,3.915628605,scans/40015.jpg
0,1636933,446221,370748,75473,17.797436,3.623015869,scans/40024.jpg
37,1648156,291412,195709,95703,10.09014722,4.934148963,scans/40018.jpg
40,1612470,345148,243979,101169,12.46279994,5.167858737,scans/40144.jpg
25,1654198,308269,239521,68748,12.20494147,3.503097083,scans/40150.jpg
31,1799906,120071,64257,55814,3.346704805,2.906967054,scans/40151.jpg
6542,1711194,112332,86166,26166,4.708349635,1.429782937,scans/40145.jpg
0,1759993,201515,130008,71507,6.627961752,3.645511515,scans/40019.jpg
45,1365917,632117,473903,158214,23.71793107,7.918305532,scans/40031.jpg
50,1653778,374679,302771,71908,14.92580504,3.544873151,scans/40027.jpg
5984,1516014,489543,401742,87801,19.97185243,4.364862561,scans/40033.jpg
342,1535183,426718,295689,131029,15.06892877,6.677511399,scans/40153.jpg
116,1301157,687979,605677,82302,30.44747473,4.137334033,scans/40147.jpg
92,1795368,117686,65500,52186,3.423680158,2.727758362,scans/40152.jpg
0,1527344,514018,364537,149481,17.85753825,7.32261108,scans/40032.jpg
4,1702648,289627,230359,59268,11.56258737,2.974884542,scans/40142.jpg
134,1506156,386606,290683,95923,15.35652249,5.067526161,scans/40143.jpg
686,1737343,111499,84638,26861,4.576194575,1.452316483,scans/40037.jpg
105,1694540,224288,172957,51331,9.013185974,2.674976146,scans/40023.jpg
30,1601519,367483,257898,109585,13.09770486,5.565425041,scans/40141.jpg
2754,1687981,192612,141001,51611,7.486724433,2.740387194,scans/40154.jpg
47,1734124,247750,216673,31077,10.9324741,1.568024154,scans/40140.jpg
1,1612870,409171,322281,86890,15.93839297,4.297141207,scans/40020.jpg
70,1548774,373957,282139,91818,14.67333333,4.775221149,scans/40034.jpg
317,1528639,355731,267602,88129,14.19875024,4.676054963,scans/40047.jpg
2,1731055,247566,179399,68167,9.066861145,3.44517374,scans/40127.jpg
254,1524997,438403,346629,91774,17.65224423,4.67363395,scans/40133.jpg
281,1613361,267378,174145,93233,9.258008953,4.956512956,scans/40126.jpg
1542,1753301,96411,65569,30842,3.541869457,1.666005853,scans/40044.jpg
66,1696595,210345,165162,45183,8.660801277,2.36931609,scans/40050.jpg
8,1625374,372746,271472,101274,13.58631679,5.068444064,scans/40130.jpg
1970,1673409,155724,115967,39757,6.333177325,2.171205006,scans/40124.jpg
42,1598279,364018,253063,110955,12.8959879,5.654221824,scans/40118.jpg
334,1716934,194803,124789,70014,6.526378989,3.661684111,scans/40119.jpg
255,1669709,210499,150558,59941,8.006432458,3.187566041,scans/40125.jpg
20,1329764,733961,566271,167690,27.43900046,8.125519383,scans/40131.jpg
22,1640190,245022,168903,76119,8.959259169,4.037642012,scans/40051.jpg
64,1680031,231914,170410,61504,8.912614951,3.21672126,scans/40041.jpg
0,1686375,306409,157751,148658,7.91611133,7.459815013,scans/40109.jpg
473,1763062,130665,78845,51820,4.162443248,2.735719565,scans/40135.jpg
60,1604140,312670,248797,63873,12.97933611,3.33215085,scans/40121.jpg
30,1456792,593499,476336,117163,23.23226461,5.714373505,scans/40120.jpg
487,1451767,481695,337901,143794,17.47207398,7.435252946,scans/40134.jpg
18641,1718758,240237,206549,33688,10.44423746,1.703447955,scans/40108.jpg
60,1542352,405640,297744,107896,15.28419159,5.538661186,scans/40054.jpg
1104,1766038,88367,49371,38996,2.660779333,2.101633568,scans/40040.jpg
195,1336896,615815,471408,144407,24.13879623,7.394467527,scans/40042.jpg
349,1686761,235281,165524,69757,8.610319129,3.62865827,scans/40122.jpg
56,1726787,150684,103506,47178,5.512890094,2.512773451,scans/40136.jpg
20,1686164,247839,179112,68727,9.261110132,3.553577181,scans/40137.jpg
796,1495606,447899,368040,79859,18.92916786,4.10733729,scans/40123.jpg
41,835636,1267182,1073359,193823,51.04284215,9.217118219,scans/40043.jpg
647,1667751,200128,166992,33136,8.937098012,1.773376448,scans/40038.jpg
879,1679931,184182,147608,36574,7.91467202,1.961080798,scans/40028.jpg
1053,1611201,259015,203961,55054,10.89960877,2.942067656,scans/40027.jpg
313,1768504,93115,59114,34001,3.17487427,1.82611395,scans/40152.jpg
106,1681364,189881,156857,33024,8.382019194,1.764714369,scans/40021.jpg
20,1642276,259290,170576,88714,8.970196457,4.665263627,scans/40011.jpg